Iteration,himmelblau,griewank,rastrigin,rosenbrock
0,3.0025983710040665,0.02607568978166723,5.059385024627734,0.7533535994229651
1,1.6744009242941829,0.018655376028657873,3.526944493881455,0.3292830832416727
2,0.9512430049809716,0.01541487715253192,3.2803752887719613,0.15842921156258125
3,0.7223607138787572,0.012700997804171357,2.78636086333112,0.12446252811275507
4,0.5322848577977066,0.010742604746425905,2.1684346521470714,0.1062637821616991
5,0.4329431254007146,0.009508632376445506,1.8419482789724602,0.08107050136972124
6,0.34838079219985135,0.008299763630118525,1.7104883711388787,0.059720318680488695
7,0.27471131698556134,0.008027938906045924,1.5529869317260436,0.049823676980828804
8,0.1890412537211795,0.007605763905397345,1.3670844343883852,0.03811314429066408
9,0.1532375017175514,0.00669285444509404,1.3243219463907772,0.02889617301556481
10,0.1307700439686634,0.0066556073080503925,1.1793197194780307,0.025269159262830666
11,0.12870114973138233,0.006336788079086882,1.1368799825796922,0.023776184472889112
12,0.11562018650465714,0.005927481817390603,0.920098572523724,0.020934536215038345
13,0.10291314578917278,0.005490419021841213,0.9065364731167084,0.01741398983087242
14,0.08217738456705995,0.0052573545512730495,0.8533381692043526,0.013033762277402388
15,0.07742652722829997,0.0048865535448798895,0.7784802398640281,0.010508722204554762
16,0.07571687316698644,0.004018393499210995,0.6291663058817087,0.00830674722798088
17,0.06079426917040167,0.0037969691281016936,0.5684386113661459,0.007558281321796412
18,0.059247106513849034,0.003493895166991866,0.5376009256501157,0.007101449012349586
19,0.041089782165098045,0.003403150490126291,0.4165608581324135,0.005811257519625917
20,0.0367332525547015,0.003403150490126291,0.365896328509513,0.00521869191054334
21,0.029793632931842163,0.003163388859615341,0.34944275368236777,0.004455218250469542
22,0.029255225602869226,0.0031489282512032614,0.29693737305141615,0.003801297437827281
23,0.02159291812747671,0.0030970568734286423,0.2496294106513572,0.0026396280296660355
24,0.019500574984876538,0.0030854748801980364,0.24815723865161865,0.0022704478352480427
25,0.018356948378918447,0.0028992218973967537,0.22825232189131667,0.0019489928683275467
26,0.015731985164048855,0.0028816297884802634,0.21274102501347297,0.001754522524709075
27,0.013797529150352355,0.002564717970535286,0.18014226959482174,0.0015891369683341075
28,0.013318505053795462,0.0025090470147933752,0.1678890636277029,0.0008762051417835412
29,0.012135719484113624,0.002377647136740931,0.14492690353732668,0.0007423728596835384
30,0.011410583837324514,0.002221625248413377,0.11786826866386224,0.0006981184465108202
31,0.00828161516947663,0.0021676540670732707,0.089668187699789,0.0006193250626442624
32,0.006757064151021857,0.0020004502253275123,0.0836544211693494,0.0005601116161884948
33,0.005958586310701876,0.0016407443954705653,0.07996566199768548,0.0005003428995235816
34,0.005545003204353483,0.001640060806859021,0.06470055970390384,0.00046138545759230105
35,0.004698391913744622,0.0014323926851493147,0.05253691958258279,0.0003561925010738972
36,0.0038572197544537914,0.001413618810800502,0.04183431186730697,0.00027833267676538636
37,0.003587182351724013,0.001275890534717281,0.0323842745460126,0.00018698884179635492
38,0.003420507490875947,0.0011969403876326459,0.02696812021056757,9.925083727255238e-05
39,0.0028789838216463637,0.0011560450143988528,0.022509308805592442,4.905731647667752e-05
40,0.002776810587136574,0.0010575418039791902,0.016144693391524013,4.691392470941216e-05
41,0.0027074330852663695,0.0010142433630434616,0.01427626642169966,4.172106914682604e-05
42,0.0025114666476945065,0.0009534610146046091,0.01411350429789421,3.6918851383899505e-05
43,0.002375762180716537,0.0009399786287349753,0.010824413688200042,2.6793114842776245e-05
44,0.0022633479599168255,0.0009397994789040053,0.008830160055907754,2.0224169443467146e-05
45,0.0014362900583278794,0.0009256202687428342,0.006842340962973232,1.7529683110560913e-05
46,0.0013879023859949533,0.0008438479081135876,0.006035679813055846,1.4599942081824879e-05
47,0.001002503445302253,0.0007925637542921992,0.003497363043634772,1.0983928441852948e-05
48,0.0009485205816193335,0.0007517666407335589,0.0030378910504665437,7.693423123887548e-06
49,0.0009410213955747058,0.0007054298129594626,0.0028752338626719985,5.945722579373874e-06
50,0.0008831296211039988,0.0007021337603746243,0.0017466783553663203,4.8545880266087436e-06
51,0.00048803762899130774,0.0006980707353749101,0.0016289017895583092,4.137904013272201e-06
52,0.00043015506112713774,0.0005973609403540439,0.0014325814227501242,3.396028200341289e-06
53,0.0004021366188939583,0.0005945917132353463,0.0012276421819473354,2.78405115038594e-06
54,0.0004001108631019318,0.0005861565483815775,0.0001607794136812539,2.4235308508048863e-06
55,0.00038867301198225506,0.0005793370492269761,0.00014952203649236877,1.104215611582397e-06
56,0.00027290824075124363,0.0005787043454302809,0.00013961153532059437,9.952097617248728e-07
57,0.00027001123975794544,0.0005691154963218564,6.681613076566353e-05,7.127090632762745e-07
58,0.00026987149470163147,0.0005562402511254573,6.289899999383087e-05,5.800899418759642e-07
59,0.00026777537002222113,0.0005343998969535283,3.8063747878127176e-05,5.202806609959612e-07
60,0.0002589872783332694,0.0005327413300511366,3.3022291749979844e-05,4.2342765923120675e-07
61,0.0002385484406390289,0.0005320779566571137,2.013343473553534e-05,2.52572191198345e-07
62,0.0002330425861152334,0.0005304699395618363,1.6137655758908046e-05,1.496465339465035e-07
63,0.0002151069849708487,0.0005302996111465825,1.3843846970175836e-05,1.2501409906516478e-07
64,0.00011268195868488528,0.000523803425181281,5.54659313116927e-06,1.1959517588278325e-07
65,0.00011195721587413183,0.0005058907463128663,4.227095693691339e-06,9.447827904645984e-08
66,0.00010017859812254432,0.0005039012657327603,3.1876606794729732e-06,7.791634051724951e-08
67,1.339283229841071e-05,0.000500548028602232,1.705483886818302e-06,4.222279600271755e-08
68,1.2667795088904147e-05,0.0004996338306475536,1.5659679765957985e-06,1.994102423394558e-08
69,1.2543030176706382e-05,0.0004966660837559346,6.94171673318938e-07,1.3986745187872951e-08
70,1.1719070357402525e-05,0.0004948602034883196,5.629319544702353e-07,1.2178305265391947e-08
71,1.1672264765088132e-05,0.0004928033799109956,4.800082663104106e-07,8.001872554574965e-09
72,1.1417015183783197e-05,0.0004875559438763012,3.0363671731764396e-07,7.961324910792396e-09
73,1.104415786751664e-05,0.00048555461036472384,7.736849062487108e-08,6.067441147220703e-09
74,1.0852770753286119e-05,0.00048265046121526335,3.787636802048984e-08,4.578910923515659e-09
75,1.0768622135255111e-05,0.0004821040175420245,3.022096305104946e-08,4.14546303701141e-09
76,1.013990425633236e-05,0.0004810589559021676,2.1854050497576016e-08,3.448123787795787e-09
77,9.847570652341682e-06,0.00048050293345945584,1.529732704665871e-08,3.164471238647506e-09
78,9.7064177170316e-06,0.0004794858917382817,1.499356257788291e-08,2.98049410243174e-09
79,9.682912625783548e-06,0.0004781928184286287,2.321241235068233e-09,2.6985410026957882e-09
80,9.67544315005312e-06,0.0004780559474707207,1.7486894513064227e-09,1.7528085165566236e-09
81,9.575858268738695e-06,0.0004779204861502947,1.6177628985529266e-09,1.722383789196004e-09
82,7.090316205432292e-06,0.0004778574529162323,9.655896440841799e-10,1.2358659386660334e-09
83,7.090309407505922e-06,0.0004776874947921597,7.070936237963202e-10,1.1469866123489528e-09
84,3.5947711543510546e-06,0.0004776505507118343,5.461064145698225e-10,5.663829653461974e-10
85,3.394048141085538e-06,0.0004773010483137471,2.0789999112938889e-10,4.5870722693679357e-10
86,1.8588559373316217e-06,0.00047720733803958656,1.7638661857275903e-10,4.3446624936733607e-10
87,1.626927209570764e-06,0.00047719525551285477,7.971510190292329e-11,2.3477886760393236e-10
88,1.551900711131887e-06,0.0004771908973522732,5.302230339375749e-11,2.149426061586236e-10
89,1.541679387432102e-06,0.0004771702728216093,4.4310820246004543e-11,6.994323677290503e-11
90,8.692036843596614e-07,0.0004771671206241027,3.8877804201782114e-11,4.817149050589107e-11
91,7.51436613937674e-07,0.0004771667639510603,2.5800608961118644e-11,3.850052038472619e-11
92,6.004406799515697e-07,0.00047716630370214606,1.822186845856777e-11,2.617753184812728e-11
93,5.857813771726625e-07,0.00047716580601942665,1.3728373276887483e-11,2.325124535561595e-11
94,5.849562258547722e-07,0.0004771653604517006,5.015629488796901e-12,2.120588490810901e-11
95,2.931064495016472e-07,0.0004771652010388055,2.1027480831816642e-12,1.7050619994441748e-11
96,2.9110647685244193e-07,0.0004771650265803184,1.3652734856629152e-12,1.6115812567778657e-11
97,2.903294177074457e-07,0.0004771650108957716,8.943670177212616e-13,1.538118683887659e-11
98,2.2298064727933282e-07,0.00047716450387466544,7.703658499644183e-13,1.3518102513901672e-11
99,1.954668103056006e-07,0.00047716445222076927,5.373765948353403e-13,8.81559447135063e-12
100,1.9540518279836926e-07,0.00047716402025088644,5.083818670696459e-13,6.200708443937856e-12
